,Unnamed: 0,travel_time,itinerary,price,airlines,provider,duplicate
0,0,1425.0,AY5509||AY4044|AY5760,587.92,AY,Baseline,False
1,1,1425.0,AA6124||AY4044|AY5760,587.92,AA|AY,Baseline,False
2,2,1425.0,AY5408||AY4044|AY5760,587.92,AY,Baseline,False
3,3,1425.0,AA6162||AY4044|AY5760,587.92,AA|AY,Baseline,False
4,4,1840.0,AA0021|AA2206||AY4044|AY5760,592.42,AA|AY,Baseline,False
5,5,1885.0,AA0731|AA2577||AY4044|AY5760,592.42,AA|AY,Baseline,False
6,6,2053.0,AA0731|AA1577||AY4044|AY5760,592.42,AA|AY,Baseline,False
7,7,1751.0,AA0021|AA1219||AY4044|AY5760,592.42,AA|AY,Baseline,False
8,8,1938.0,AA0081|AA2720||AY4044|AY5760,592.42,AA|AY,Baseline,False
9,9,1765.0,AA0081|AA2206||AY4044|AY5760,592.42,AA|AY,Baseline,False
10,10,1891.0,AA0051|AA1219||AY4044|AY5760,592.42,AA|AY,Baseline,False
11,11,1680.0,AA0733|AA0457||AY4044|AY5760,592.42,AA|AY,Baseline,False
12,12,2078.0,AA0051|AA2392||AY4044|AY5760,592.42,AA|AY,Baseline,False
13,13,1755.0,AA0051|AA2239||AY4044|AY5760,592.42,AA|AY,Baseline,False
14,14,1938.0,AA0021|AA2392||AY4044|AY5760,592.42,AA|AY,Baseline,False
15,15,1815.0,AA0731|AA0457||AY4044|AY5760,592.42,AA|AY,Baseline,False
16,16,1863.0,AA0081|AA2392||AY4044|AY5760,592.42,AA|AY,Baseline,False
17,17,1980.0,AA0051|AA2206||AY4044|AY5760,592.42,AA|AY,Baseline,False
18,18,1694.0,AA0173|AA1521||AY4044|AY5760,592.42,AA|AY,Baseline,False
19,19,1808.0,AA0079|AA2720||AY4044|AY5760,592.42,AA|AY,Baseline,False
20,20,1750.0,AA0733|AA2577||AY4044|AY5760,592.42,AA|AY,Baseline,False
21,21,2013.0,AA0021|AA2720||AY4044|AY5760,592.42,AA|AY,Baseline,False
22,22,1715.0,AA0731|AA0085||AY4044|AY5760,592.42,AA|AY,Baseline,False
23,23,1918.0,AA0733|AA1577||AY4044|AY5760,592.42,AA|AY,Baseline,False
24,24,1425.0,BA0209||AY4044|AY5760,598.92,AY|BA,Baseline,False
25,25,1425.0,BA0211||AY4044|AY5760,598.92,AY|BA,Baseline,False
26,26,1425.0,IB7328||AY4044|AY5760,598.92,AY|IB,Baseline,False
27,27,1425.0,IB7399||AY4044|AY5760,598.92,AY|IB,Baseline,False
28,28,1620.0,AA6211|AA0669||AY4044|AY5760,600.52,AA|AY,Baseline,False
29,29,1729.0,AA6211|AA2624||AY4044|AY5760,600.52,AA|AY,Baseline,False
30,30,1315.0,BA1528||BA4262|BA7068,620.62,BA,Baseline,False
31,31,1343.0,AY5408||AA0251|AA6137,627.92,AA|AY,Common,True
32,32,1300.0,AY5509||AA0029|AA6163,627.92,AA|AY,Common,True
33,33,1420.0,AY5509||AA1947|AA6163,627.92,AA|AY,Baseline,False
34,34,1362.0,AY5509||AA1618|AA6171,627.92,AA|AY,Common,True
35,35,1343.0,AY5509||AA0251|AA6137,627.92,AA|AY,Common,True
36,36,1379.0,AY5509||AA0293|AA6192,627.92,AA|AY,Common,True
37,37,1297.0,AY5509||AA0225|AA6200,627.92,AA|AY,Common,True
38,38,1405.0,AY5509||AA2303|AA6196,627.92,AA|AY,Baseline,False
39,39,1358.0,AY5509||AA1199|AA6150,627.92,AA|AY,Common,True
40,40,1340.0,AY5509||AA1159|AA6196,627.92,AA|AY,Common,True
41,41,1300.0,AY5408||AA0029|AA6163,627.92,AA|AY,Common,True
42,42,1379.0,AY5408||AA0293|AA6192,627.92,AA|AY,Common,True
43,43,1405.0,AY5408||AA2303|AA6196,627.92,AA|AY,Baseline,False
44,44,1373.0,AY4029||AA1199|AA6150,627.92,AA|AY,Common,True
45,45,1297.0,AY5408||AA0225|AA6200,627.92,AA|AY,Common,True
46,46,1355.0,AY4029||AA1159|AA6196,627.92,AA|AY,Common,True
47,47,1377.0,AY4029||AA1618|AA6171,627.92,AA|AY,Common,True
48,48,1312.0,AY4029||AA0225|AA6200,627.92,AA|AY,Common,True
49,49,1420.0,AY4029||AA2303|AA6196,627.92,AA|AY,Baseline,False
50,50,1358.0,AY4029||AA0251|AA6137,627.92,AA|AY,Common,True
51,51,1315.0,AY4029||AA0029|AA6163,627.92,AA|AY,Common,True
52,52,1340.0,AY5408||AA1159|AA6196,627.92,AA|AY,Common,True
53,53,1358.0,AY5408||AA1199|AA6150,627.92,AA|AY,Common,True
54,54,1362.0,AY5408||AA1618|AA6171,627.92,AA|AY,Common,True
55,55,1420.0,AY5408||AA1947|AA6163,627.92,AA|AY,Baseline,False
56,56,1394.0,AY4029||AA0293|AA6192,627.92,AA|AY,Common,True
57,57,1060.0,DI7043||DI7044,632.02,DI,Common,True
58,58,2260.0,AA6154|AA2438||AY4044|AY5760,632.42,AA|AY,Baseline,False
59,59,2274.0,AA0079|AA1042||AY4044|AY5760,632.42,AA|AY,Baseline,False
60,60,1733.0,AA6154|AA2720||AY4044|AY5760,632.42,AA|AY,Baseline,False
61,61,2072.0,AA6231|AA4466||AY4044|AY5760,632.42,AA|AY,Baseline,False
62,62,2329.0,AA6154|AA2386||AY4044|AY5760,632.42,AA|AY,Baseline,False
63,63,2199.0,AA6154|AA1042||AY4044|AY5760,632.42,AA|AY,Baseline,False
64,64,1999.0,AA6231|AA4379||AY4044|AY5760,632.42,AA|AY,Baseline,False
65,65,1420.0,BA0209||AA1947|AA6163,638.92,AA|BA,Baseline,False
66,66,1379.0,IB7328||AA0293|AA6192,638.92,AA|IB,Common,True
67,67,1300.0,IB7328||AA0029|AA6163,638.92,AA|IB,Common,True
68,68,1297.0,IB7328||AA0225|AA6200,638.92,AA|IB,Common,True
69,69,1362.0,BA0209||AA1618|AA6171,638.92,AA|BA,Common,True
70,70,1405.0,IB7399||AA2303|AA6196,638.92,AA|IB,Baseline,False
71,71,1343.0,IB7328||AA0251|AA6137,638.92,AA|IB,Common,True
72,72,1362.0,IB7328||AA1618|AA6171,638.92,AA|IB,Common,True
73,73,1340.0,BA0209||AA1159|AA6196,638.92,AA|BA,Common,True
74,74,1340.0,IB7328||AA1159|AA6196,638.92,AA|IB,Common,True
75,75,1405.0,IB7328||AA2303|AA6196,638.92,AA|IB,Baseline,False
76,76,1394.0,BA1528||AA0293|AA6192,638.92,AA|BA,Baseline,False
77,77,1340.0,IB7399||AA1159|AA6196,638.92,AA|IB,Common,True
78,78,1358.0,IB7399||AA1199|AA6150,638.92,AA|IB,Common,True
79,79,1405.0,BA0209||AA2303|AA6196,638.92,AA|BA,Baseline,False
80,80,1362.0,IB7399||AA1618|AA6171,638.92,AA|IB,Common,True
81,81,1420.0,IB7399||AA1947|AA6163,638.92,AA|IB,Baseline,False
82,82,1379.0,IB7399||AA0293|AA6192,638.92,AA|IB,Baseline,False
83,83,1300.0,BA0209||AA0029|AA6163,638.92,AA|BA,Common,True
84,84,1343.0,BA0209||AA0251|AA6137,638.92,AA|BA,Common,True
85,85,1297.0,IB7399||AA0225|AA6200,638.92,AA|IB,Common,True
86,86,1340.0,BA0211||AA1159|AA6196,638.92,AA|BA,Common,True
87,87,1379.0,BA0209||AA0293|AA6192,638.92,AA|BA,Common,True
88,88,1343.0,IB7399||AA0251|AA6137,638.92,AA|IB,Common,True
89,89,1297.0,BA0209||AA0225|AA6200,638.92,AA|BA,Common,True
90,90,1420.0,IB7328||AA1947|AA6163,638.92,AA|IB,Baseline,False
91,91,1420.0,IB4228||AA2303|AA6196,638.92,AA|IB,Baseline,False
92,92,1355.0,BA1528||AA1159|AA6196,638.92,AA|BA,Common,True
